Datetime,Stage,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Attendance,Half-timeHomeGoals,Half-timeAwayGoals,Referee,RoundID,MatchID
2006-07-09,Final,Italy,1,1,France,69000,0,0,ELIZONDO Horacio (ARG),97410600,97410064
2006-07-08,Third place,Germany,3,1,Portugal,52000,0,0,KAMIKAWA Toru (JPN),97410500,97410063
2006-07-04,Semi-finals,Germany,0,2,Italy,65000,0,0,ARCHUNDIA Benito (MEX),97410400,97410061
2006-07-05,Semi-finals,Portugal,0,1,France,66000,0,1,LARRIONDA Jorge (URU),97410400,97410062
2006-07-01,Quarter-finals,Brazil,0,1,France,48000,0,0,MEDINA CANTALEJO Luis (ESP),97410300,97410060
2006-07-01,Quarter-finals,England,0,0,Portugal,52000,0,0,ELIZONDO Horacio (ARG),97410300,97410059
2006-06-30,Quarter-finals,Italy,3,0,Ukraine,50000,1,0,DE BLEECKERE Frank (BEL),97410300,97410058
2006-06-30,Quarter-finals,Germany,1,1,Argentina,72000,0,0,MICHEL Lubos (SVK),97410300,97410057
2006-06-26,Round of 16,Switzerland,0,0,Ukraine,45000,0,0,ARCHUNDIA Benito (MEX),97410200,97410054
2006-06-27,Round of 16,Brazil,3,0,Ghana,65000,2,0,MICHEL Lubos (SVK),97410200,97410055
2006-06-27,Round of 16,Spain,1,3,France,43000,1,1,ROSETTI Roberto (ITA),97410200,97410056
2006-06-24,Round of 16,Germany,2,0,Sweden,66000,2,0,SIMON Carlos (BRA),97410200,97410049
2006-06-25,Round of 16,Portugal,1,0,Netherlands,41000,1,0,IVANOV Valentin (RUS),97410200,97410052
2006-06-26,Round of 16,Italy,1,0,Australia,46000,0,0,MEDINA CANTALEJO Luis (ESP),97410200,97410053
2006-06-25,Round of 16,England,1,0,Ecuador,52000,0,0,DE BLEECKERE Frank (BEL),97410200,97410051
2006-06-24,Round of 16,Argentina,2,1,Mexico,43000,0,0,BUSACCA Massimo (SUI),97410200,97410050
2006-06-11,Group D,Angola,0,1,Portugal,45000,0,1,LARRIONDA Jorge (URU),97410100,97410008
2006-06-17,Group E,Czech Republic,0,2,Ghana,45000,0,1,ELIZONDO Horacio (ARG),97410100,97410026
2006-06-20,Group B,Sweden,2,2,England,45000,0,1,BUSACCA Massimo (SUI),97410100,97410035
2006-06-23,Group G,Togo,0,2,France,45000,0,0,LARRIONDA Jorge (URU),97410100,97410045
2006-06-10,Group B,Trinidad and Tobago,0,0,Sweden,62959,0,0,MAIDIN Shamsul (SIN),97410100,97410004
2006-06-14,Group A,Germany,1,0,Poland,65000,0,0,MEDINA CANTALEJO Luis (ESP),97410100,97410017
2006-06-22,Group F,Japan,1,4,Brazil,65000,1,1,POULAT Eric (FRA),97410100,97410043
2006-06-19,Group G,Togo,0,2,Switzerland,65000,0,1,AMARILLA Carlos (PAR),97410100,97410030
2006-06-10,Group B,England,1,0,Paraguay,48000,1,0,RODRIGUEZ Marco (MEX),97410100,97410003
2006-06-13,Group G,Korea Republic,2,1,Togo,48000,0,1,POLL Graham (ENG),97410100,97410014
2006-06-21,Group C,Netherlands,0,0,Argentina,48000,0,0,MEDINA CANTALEJO Luis (ESP),97410100,97410037
2006-06-17,Group D,Portugal,2,0,IR Iran,48000,0,0,POULAT Eric (FRA),97410100,97410024
2006-06-16,Group C,Argentina,6,0,Serbia and Montenegro,52000,3,0,ROSETTI Roberto (ITA),97410100,97410021
2006-06-09,Group A,Poland,0,2,Ecuador,52000,0,1,KAMIKAWA Toru (JPN),97410100,97410002
2006-06-21,Group D,Portugal,2,1,Mexico,52000,2,1,MICHEL Lubos (SVK),97410100,97410039
2006-06-12,Group E,USA,0,3,Czech Republic,52000,0,2,AMARILLA Carlos (PAR),97410100,97410010
2006-06-10,Group C,Argentina,2,1,Ivory Coast,49480,2,0,DE BLEECKERE Frank (BEL),97410100,97410005
2006-06-22,Group E,Czech Republic,0,2,Italy,50000,0,1,ARCHUNDIA Benito (MEX),97410100,97410041
2006-06-15,Group A,Ecuador,3,0,Costa Rica,50000,1,0,CODJIA Coffi (BEN),97410100,97410018
2006-06-19,Group H,Saudi Arabia,0,4,Ukraine,50000,0,2,POLL Graham (ENG),97410100,97410032
2006-06-20,Group A,Costa Rica,1,2,Poland,43000,1,1,MAIDIN Shamsul (SIN),97410100,97410034
2006-06-12,Group E,Italy,2,0,Ghana,43000,1,0,SIMON Carlos (BRA),97410100,97410009
2006-06-16,Group D,Mexico,0,0,Angola,43000,0,0,MAIDIN Shamsul (SIN),97410100,97410023
2006-06-23,Group G,Switzerland,2,0,Korea Republic,43000,1,0,ELIZONDO Horacio (ARG),97410100,97410046
2006-06-18,Group F,Brazil,2,0,Australia,66000,0,0,MERK Markus (GER),97410100,97410027
2006-06-21,Group C,Cï¿½te d'Ivoire,3,2,Serbia and Montenegro,66000,1,2,RODRIGUEZ Marco (MEX),97410100,97410038
