RoundID,MatchID,Coach Name,Player Name
323.00,25.00,BILARDO Carlos (ARG),Abel BALBO
323.00,25.00,LAZARONI Sebastiao (BRA),ACACIO
323.00,25.00,LAZARONI Sebastiao (BRA),ALDAIR
323.00,25.00,LAZARONI Sebastiao (BRA),ALEMAO
323.00,25.00,BILARDO Carlos (ARG),Angel COMIZZO
323.00,25.00,LAZARONI Sebastiao (BRA),BEBETO
323.00,25.00,LAZARONI Sebastiao (BRA),BISMARCK
323.00,25.00,LAZARONI Sebastiao (BRA),BRANCO
323.00,25.00,LAZARONI Sebastiao (BRA),CARECA
323.00,25.00,BILARDO Carlos (ARG),Claudio CANIGGIA
323.00,25.00,BILARDO Carlos (ARG),Diego MARADONA
323.00,25.00,LAZARONI Sebastiao (BRA),DUNGA
323.00,25.00,BILARDO Carlos (ARG),Edgardo BAUZA
323.00,25.00,BILARDO Carlos (ARG),Fabian CANCELARICH
323.00,25.00,BILARDO Carlos (ARG),Gabriel CALDERON
323.00,25.00,BILARDO Carlos (ARG),Gustavo DEZOTTI
323.00,25.00,BILARDO Carlos (ARG),Jorge BURRUCHAGA
323.00,25.00,LAZARONI Sebastiao (BRA),JORGINHO
323.00,25.00,BILARDO Carlos (ARG),Jose BASUALDO
323.00,25.00,BILARDO Carlos (ARG),Jose SERRIZUELA
323.00,25.00,BILARDO Carlos (ARG),Juan SIMON
323.00,25.00,BILARDO Carlos (ARG),Julio OLARTICOECHEA
323.00,25.00,LAZARONI Sebastiao (BRA),MAURO GALVAO
323.00,25.00,LAZARONI Sebastiao (BRA),MAZINHO
323.00,25.00,LAZARONI Sebastiao (BRA),MOZER
323.00,25.00,LAZARONI Sebastiao (BRA),MULLER
323.00,25.00,BILARDO Carlos (ARG),Nery PUMPIDO
323.00,25.00,BILARDO Carlos (ARG),Nestor FABBRI
323.00,25.00,BILARDO Carlos (ARG),Nestor LORENZO
323.00,25.00,BILARDO Carlos (ARG),Oscar RUGGERI
323.00,25.00,BILARDO Carlos (ARG),Pedro MONZON
323.00,25.00,BILARDO Carlos (ARG),Pedro TROGLIO
323.00,25.00,LAZARONI Sebastiao (BRA),RENATO GAUCHO
323.00,25.00,BILARDO Carlos (ARG),Ricardo GIUSTI
323.00,25.00,LAZARONI Sebastiao (BRA),RICARDO GOMES
323.00,25.00,LAZARONI Sebastiao (BRA),RICARDO ROCHA
323.00,25.00,BILARDO Carlos (ARG),Roberto SENSINI
323.00,25.00,LAZARONI Sebastiao (BRA),ROMARIO
323.00,25.00,BILARDO Carlos (ARG),Sergio BATISTA
323.00,25.00,BILARDO Carlos (ARG),Sergio GOYCOCHEA
323.00,25.00,LAZARONI Sebastiao (BRA),SILAS
323.00,25.00,LAZARONI Sebastiao (BRA),TAFFAREL
323.00,25.00,LAZARONI Sebastiao (BRA),TITA
323.00,25.00,LAZARONI Sebastiao (BRA),VALDO
323.00,25.00,LAZARONI Sebastiao (BRA),ZE CARLOS
322.00,26.00,BILARDO Carlos (ARG),Abel BALBO
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Alphonse YOMBI
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Andre KANA-BIYIK
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Benjamin MASSING
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Bertin EBWELLE
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Boneventure DJONKEP
322.00,26.00,BILARDO Carlos (ARG),Claudio CANIGGIA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Cyrille MAKANAKY
322.00,26.00,BILARDO Carlos (ARG),Diego MARADONA
322.00,26.00,BILARDO Carlos (ARG),Edgardo BAUZA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Emile MBOUH
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Emmanuel KUNDE
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Emmanuel MABOANG
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Eugene EKEKE
322.00,26.00,BILARDO Carlos (ARG),Fabian CANCELARICH
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Francois OMAM-BIYIK
322.00,26.00,BILARDO Carlos (ARG),Gabriel CALDERON
322.00,26.00,BILARDO Carlos (ARG),Gustavo DEZOTTI
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Jacques SONGOO
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Jean Claude PAGAL
322.00,26.00,BILARDO Carlos (ARG),Jorge BURRUCHAGA
322.00,26.00,BILARDO Carlos (ARG),Jose BASUALDO
322.00,26.00,BILARDO Carlos (ARG),Jose SERRIZUELA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Joseph Antoine BELL
322.00,26.00,BILARDO Carlos (ARG),Juan SIMON
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Jules Denis ONANA
322.00,26.00,BILARDO Carlos (ARG),Julio OLARTICOECHEA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Louis MFEDE
322.00,26.00,BILARDO Carlos (ARG),Nery PUMPIDO
322.00,26.00,BILARDO Carlos (ARG),Nestor FABBRI
322.00,26.00,BILARDO Carlos (ARG),Nestor LORENZO
322.00,26.00,BILARDO Carlos (ARG),Oscar RUGGERI
322.00,26.00,BILARDO Carlos (ARG),Pedro MONZON
322.00,26.00,BILARDO Carlos (ARG),Pedro TROGLIO
322.00,26.00,BILARDO Carlos (ARG),Ricardo GIUSTI
322.00,26.00,BILARDO Carlos (ARG),Roberto SENSINI
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Roger FEUTMBA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Roger MILLA
322.00,26.00,BILARDO Carlos (ARG),Sergio BATISTA
322.00,26.00,BILARDO Carlos (ARG),Sergio GOYCOCHEA
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Stephen TATAW
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Thomas LIBIIH
322.00,26.00,NEPOMNYASHCHI Valeri (RUS),Thomas NKONO
